Species_David,Sub,CA1,CA2,CA3,Hilus,FD,Body_Size,HippocampusTotal,Fibers,retroHP,Medulla,EC,Nocturnality,Species_1981,BrainMass,BrainVol,HPvol,Source,MSW93_Order,MSW93_Family,MSW93_Genus,MSW93_Species,MSW93_Binomial,ActivityCycle,AdultBodyMass_g,AdultForearmLen_mm,AdultHeadBodyLen_mm,AgeatEyeOpening_d,AgeatFirstBirth_d,BasalMetRate_mLO2hr,BasalMetRateMass_g,DietBreadth,DispersalAge_d,GestationLen_d,HabitatBreadth,HomeRange_km2,HomeRange_Indiv_km2,InterBirthInterval_d,LitterSize,LittersPerYear,MaxLongevity_m,NeonateBodyMass_g,NeonateHeadBodyLen_mm,PopulationDensity_n_km2,PopulationGrpSize,SexualMaturityAge_d,SocialGrpSize,TeatNumber,Terrestriality,TrophicLevel,WeaningAge_d,WeaningBodyMass_g,WeaningHeadBodyLen_mm,References,AdultBodyMass_g_EXT,LittersPerYear_EXT,NeonateBodyMass_g_EXT,WeaningBodyMass_g_EXT,GR_Area_km2,GR_MaxLat_dd,GR_MinLat_dd,GR_MRLat_dd,GR_MaxLong_dd,GR_MinLong_dd,GR_MRLong_dd,HuPopDen_Min_n/km2,HuPopDen_Mean_n/km2,HuPopDen_5p_n/km2,HuPopDen_Change,Precip_Mean_mm,Temp_Mean_01degC,AET_Mean_mm,PET_Mean_mm,ATWP_DR,ATWP_perForaging,ATWP_GroupSize,ATWP_HR,ATWP_HR_km2,ATWP_perTravel,GroupSize_filled,Home_Range,Population_Density,Genus,Clade,retroHP.EC,DG,CA2.3,Body__Brain,Brain__HP,Brain__EC,Brain__Fib,retroHP__DG,retroHP__FD,retroHP__Hil,retroHP__CA2.3,retroHP__CA3,retroHP__CA2,retroHP__CA1,retroHP__Sub,Home_Range_res,Residual_HomeRange,retroHP_res,retroHP_res_res,BrainVol_res,EC_res,Fibers_res,DG_res,FD_res,Hilus_res,CA2.3_res,CA3_res,CA2_res,CA1_res,Sub_res,PC1,PC1_res,CA3_res_res,PC2,PC2_res,PC3,PC4
Cercopithecus_ascanius,77.57,362.05,23.02,240.6,85.7,150.46,3400,1189,249.6,939.4,1632,694,diurnal,Cercopithecus ascanius,67,64670,1190,2,Primates,Cercopithecidae,Cercopithecus,ascanius,Cercopithecus ascanius,3,3540,NA,444.99,NA,1825,NA,NA,4,NA,148.5,NA,0.17,0.18,1580.45,1,NA,339.6,371,NA,8.1425547336996,34,1490.41,26.3,NA,NA,2,141.24,NA,NA,208;543;681;730;930;1297;1347;1544;1547;1848;2344;2463;2493;2655;2660;2986,NA,0.52,NA,NA,3012180,6.79,-12.21,-2.71,35.34,12.27,23.8,0,30.04,1,0.15,131.01,236.61,1302.52,1551.84,1668,31.15,31.8333333333333,49.9333333333333,0.499333333333333,18.775,7.901007485975,5.88340628691622,63.7516688918558,Cercopithecus,Old World Monkeys,1633.4,236.16,263.62,3333,63730.6,63976,64420.4,703.24,788.94,853.7,675.78,698.8,916.38,577.35,861.83,1.72923948166052,0.173951724758916,1.49701819393666,1.58039549809625,1.58656223164373,1.71398742320182,1.54873259450312,1.62194646875436,1.3611497608344,1.75005641406109,1.46783404492734,1.51417458028065,1.14717133849736,1.62085968061626,1.49450694671507,1.53739661714201,1.63753733443132,1.53450856168111,1.36477043332297,1.82026877488751,1.47977520407365,1.7353625425778
Cercopithecus_mitis,77.48,378.84,30.44,288.47,86.05,125.58,6300,1366.39,379.53,986.86,1999,617,diurnal,Cercopithecus mitis,75,72390,1370,2,Primates,Cercopithecidae,Cercopithecus,mitis,Cercopithecus mitis,3,5040,NA,574.99,NA,2087.8,3455.75,8650,4,NA,138.48,NA,0.11,0.11,565.75,1,NA,325.2,402,NA,7.64584777038968,NA,1779.37,16,NA,NA,2,683.61,NA,NA,208;543;681;730;1297;1544;1547;1748;1822;1848;2344;2489;2493;2655;2660;2986,NA,0.89,NA,NA,3406986,12,-33,-10.49,46.05,12.99,29.52,0,41.5,3,0.15,95.88,223.51,1034.61,1531.37,525.816666666667,41.545,18.4909090909091,66.15,0.6615,19.5866666666667,6.81768081623177,6.15866244624783,27.9529993815708,Cercopithecus,Old World Monkeys,1603.86,211.63,318.91,6225,71403.14,71773,72010.47,775.23,861.28,900.81,667.95,698.39,956.42,608.02,909.38,1.69432820248843,0.116018641078963,1.36566318658936,1.44120710033428,1.42909857119686,1.53680671020485,1.78698460140959,1.32248437864029,1,1.69817837073774,1.78818759975649,1.82317065466377,1.38102817940502,1.60533555577665,1.42301444372278,1.36886688032125,1.51648797942404,1.75502328842219,1.48210406366039,1.98664677848632,1.39838713701446,1.39844436357487
Erythrocebus_patas,76.65,345.54,39.46,327.74,101.09,195.13,7800,1590.53,504.92,1085.61,2616,693,diurnal,Erythrocebus patas,108,104250,1590,2,Primates,Cercopithecidae,Erythrocebus,patas,Erythrocebus patas,3,8010,NA,664.99,NA,1079.79,NA,NA,4,NA,167.2,NA,28.8,28.5,365,1,NA,286.8,624,NA,1,20.5,1054.36,28,NA,NA,2,210.41,2210,NA,208;543;681;730;1297;1347;1544;1547;1611;1763;1767;1848;2344;2489;2493;2655;2660;2986,NA,1.11,NA,NA,6948334,19.93,-3.98,7.97,37.99,-17.53,10.22,0,32.77,1,0.1,73.39,263.6,760.42,1596.49,3746,36.9,31,3350,33.5,10.1,7.84810744499493,10,0.925373134328358,Erythrocebus,Old World Monkeys,1778.61,296.22,367.2,7692,103164.39,103557,103745.08,789.39,890.48,984.52,718.41,757.87,1046.15,740.07,1008.96,1.9648003515524,0.564850251275258,1.21863684305093,1.28074936881933,1.52959555691319,1.55096849103266,1.87701734699236,1.79443113455127,1.5752581894554,1.75699221546665,1.89761621415269,1.90015165974224,1.55005275159752,1,1.27357531492015,1,1.0793113480748,1.76688392627197,1.21396758793293,1.50596905330093,1.73397976500407,1.50501889131639
Miopithecus_talapoin,41.31,183.4,15.31,134.6,51.91,87.59,1200,704.87,190.75,514.12,1035,259,diurnal,Cercopithecus talapoin,40,38610,710,2,Primates,Cercopithecidae,Miopithecus,talapoin,Miopithecus talapoin,3,1250,NA,355,NA,1598.7,NA,NA,3,NA,164.49,1,0.81,0.83,365,1,NA,370.8,180,NA,7.0358191949953,66.5,1484.15,91.2,NA,2,2,177.81,417,NA,208;543;730;904;1297;1347;1544;1547;1611;1763;1767;1848;2344;2463;2489;2493;2655;2660;2986,NA,1.11,NA,NA,258766,-3,-12.37,-7.68,17.75,12.27,15.01,5,46.31,5,0.21,104.31,231.71,1091.55,1516.99,NA,NA,NA,NA,NA,NA,10,6.35688041860667,112.592592592593,Miopithecus,Old World Monkeys,773.12,139.5,149.91,1160,38095.88,38351,38419.25,374.62,426.53,462.21,364.21,379.52,498.81,330.72,472.81,1.88135822056503,0.426383255176473,1.34630235475742,1.43124815780861,1.69936462746227,1.3633169602681,1.86971065072458,1.72992700391355,1.36386608070595,1.91644951850967,1.54213598334843,1.57133268642629,1.33251243890901,1.39054373138087,1.45555305096447,1.41306236978341,1.58181349166686,1.54351793995123,1.21501090476501,1.68332944429173,1.68793431864484,1.44282243850693
Avahi_laniger,48.13,178.89,15.29,112.49,24.93,78.82,1285,526.25,67.7,458.55,553,241,nocturnal,Avahi laniger,10.49,10130,530,2,Primates,Indridae,Avahi,laniger,Avahi laniger,2,1020,NA,274.99,NA,941.7,NA,NA,3,NA,136.19,2,0.01,0.01,365,1.01,1,NA,NA,90,7.67251159150878,NA,NA,2.25,2,2,1,148.18,NA,NA,208;511;730;1046;1048;1261;1262;1297;1544;1547;1848;2151;2344;2488;2493;2655;2972;2973;2986,NA,NA,33.6,NA,95148,-13.77,-25.17,-19.47,50.45,44.63,47.54,2,34.34,4,0.18,165.9,206.05,1272.88,1597.82,400,NA,3,1.5,0.015,NA,3.19086867399058,2.45271450075629,200,Avahi,Strepsirrhines,699.55,103.75,127.78,1274.51,9671.45,9889,10062.3,354.8,379.73,433.62,330.77,346.06,443.26,279.66,410.42,1.30053239025258,-0.537460872823108,1.78653391885114,1.80975107193547,1.03725238179823,1.41622593263145,1.37130351783881,1.36847285564457,1.35982278429278,1.2953352367866,1.4398362272295,1.4244503039086,1.4451721784712,1.69315517675543,1.83911104794636,1.61365278193167,1.57485118124162,1.52040143404647,1.68755163563248,1.79845042253416,1.64626948797687,1.66640890449711
Avahi_occidentalis,41.61,175.41,9.13,90.39,30.86,72.03,860,475.58,56.15,419.43,508,222,nocturnal,Avahi occidentalis,9.67,9330,480,2,Primates,Indridae,Avahi,NA,NA,NA,800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.33358313195851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,740,NA,2,0.685,0.00685,NA,2.3822842325883,1.68557899518098,291.970802919708,Avahi,Strepsirrhines,641.43,102.89,99.52,850.33,8910.57,9108,9273.85,316.54,347.4,388.57,319.91,329.04,410.3,244.02,377.82,1.11517119096206,-0.845056186549119,1.77942640283482,1.80953742733195,1.13492050289566,1.43050219430305,1.32413894216946,1.5168208289641,1.3437058310433,1.60905147980542,1.09566798700351,1.13935716022128,1.01197914643692,1.94038525513817,1.75722288278228,1.92462879645098,1.8757169062472,1.20961687248754,1.46136209043397,1.83925613268836,1.52438513730684,1.83002279859528
Cheirogaleus_major,18.9,107.42,8.32,92.66,13.22,61.26,450,347.35,45.57,301.78,382,149,nocturnal,Cheirogaleus major,6.8,6560,350,2,Primates,Cheirogaleidae,Cheirogaleus,major,Cheirogaleus major,1,448,NA,224.99,NA,NA,NA,NA,5,NA,69.99,1,0.02,0.02,NA,2.04,NA,180,18.1,76.7,7.60469369902049,1,364.99,1,4,2,2,45.71,NA,NA,208;543;1046;1048;1261;1297;1544;1545;1547;1848;2151;2344;2511;2655;2660;2986,NA,NA,NA,NA,180663,-12.36,-25.16,-18.76,50.45,44.07,47.26,4,34.35,5,0.19,143.99,206.62,1207.33,1567.78,NA,21,NA,4,0.04,25,1,3.4126882926137,25,Cheirogaleus,Strepsirrhines,450.78,74.48,100.98,443.2,6258.22,6411,6514.43,227.3,240.52,288.56,200.8,209.12,293.46,194.36,282.88,1.60584527495836,-0.030813241522037,1.72865408553354,1.77054542825304,1.18863024674499,1.38394180985559,1.43112144052372,1.50512106892366,1.57120473809866,1.12318076901098,1.84948748633927,1.9559162186645,1.24394090883579,1.40647160029172,1.10569019286751,1.12993855157536,1,1.94627200839643,1.40705554885704,1.01087840364731,1.33238256552552,1.9585572337896
Cheirogaleus_medius,9.97,54.4,4.72,44.89,6.19,30.44,177,174.36,23.75,150.61,202,65.3,nocturnal,Cheirogaleus medius,3.14,3030,170,2,Primates,Cheirogaleidae,Cheirogaleus,medius,Cheirogaleus medius,1,197,NA,224.99,NA,472.67,195,300,5,NA,61.79,1,0.02,0.00383,365,2.04,NA,231.6,14.7,NA,9.02443909480008,1,370.21,1,4,2,2,60.26,NA,NA,208;543;730;732;1046;1048;1261;1297;1544;1545;1547;1611;1822;1848;2041;2151;2344;2428;2493;2511;2655;2986,NA,1.11,NA,NA,122849,-12.49,-25.58,-19.03,49.82,43.22,46.52,2,11.99,3,0.19,85.08,240.48,899.72,1625.76,465,NA,3,1.89,0.0189,NA,3.19086867399058,2.67891207228535,158.730158730159,Cheirogaleus,Strepsirrhines,215.91,36.63,49.61,173.86,2879.39,2964.7,3006.25,113.98,120.17,144.42,101,105.72,145.89,96.21,140.64,1.55446007930635,-0.116083758965561,1.65211711366888,1.70252096802801,1.14017497175057,1.30314240342464,1.53748195764328,1.42719858680599,1.44987101254657,1.12982683484007,1.80009466930369,1.89126964648884,1.36022925414764,1.48390170636717,1.18263706129493,1.18798021942277,1.12158637205386,1.88168844982308,1.46575445056213,1.13524998041859,1.35363005503303,1.76872687673106
Daubentonia_madagascariensis,100.01,577.11,35.54,316.55,94.14,324.55,2800,1776.1,328.2,1447.9,1517,1044,nocturnal,Daubentonia madagascarie,45.15,43580,1780,2,Primates,Daubentoniidae,Daubentonia,madagascariensis,Daubentonia madagascariensis,1,2750,NA,400,NA,1277.5,NA,NA,6,NA,166.48,2,0.06,0.07,760.41,1,0.42,291.6,122,NA,6.9691611979616,1,775.73,1,2,2,2,197.7,1540,NA,208;511;543;899;1048;1261;1297;1544;1545;1547;1848;2145;2151;2344;2489;2493;2511;2655;2986,NA,NA,NA,NA,141980,-12.38,-25.2,-18.79,50.48,43.92,47.2,2,25,3,0.18,149.13,217,1216.27,1601.27,1640.75,11.6,NA,102.65,1.0265,55.2,1,6.58871969181644,0.974184120798831,Daubentonia,Strepsirrhines,2491.9,418.69,352.09,2754.85,42132.1,42536,43251.8,1029.21,1123.35,1353.76,1095.81,1131.35,1412.36,870.79,1347.89,1.8171328587619,0.319805285306741,1.95216198599404,1.9591873343317,1.46483073141693,1.65504243264849,1.43348065946679,1.93278249305677,2,1.35999833684177,1.16852193530222,1.15662726227188,1.15735372120123,1.71755652821236,1.24292482432326,1.56802581175433,1.45398303352578,1.26737089504781,1.21837256722902,1,1.42382474381073,1.96446847204197
Eulemur_fulvus_fulvus,62.23,258.65,19.52,171.72,37.46,106.06,1400,752.1,96.46,655.64,909,422,cathemeral,Lemur fulvus,23.3,22490,750,2,Primates,Lemuridae,Eulemur,fulvus,Eulemur fulvus,2,2390,NA,457.86,NA,970.9,746,2374.5,3,NA,120.83,1,0.05,0.0061,547.5,1.01,NA,444,75.1,NA,9.0031561904133,9.25,686.8,9.2,3,2,1,134.2,NA,NA,208;543;730;732;1046;1048;1261;1297;1544;1546;1547;1822;1848;2041;2151;2344;2428;2489;2493;2655;2660;2986;3086,NA,0.9,NA,NA,151793,-12.25,-25.17,-18.71,50.46,43.61,47.04,2,23.18,3,0.19,133.05,220.67,1139.15,1586.18,279.85,16.6525,10.335,8.475,0.08475,5.67,5.65756039258515,4.14754969737404,121.946902654867,Eulemur,Strepsirrhines,1077.64,143.52,191.24,1376.7,21834.36,22068,22393.54,512.12,549.58,618.18,464.4,483.92,636.12,396.99,593.41,1.60841811582131,-0.0265437730710598,1.67910500985448,1.73802517575426,1.38701039103487,1.59885500221924,1.29345464903578,1.33174170649743,1.31848641832959,1.30923080457425,1.54715456741931,1.56952480323675,1.33706487719724,1.71606849834371,1.69356450074051,1.54646988402381,1.55370099884156,1.62996550205645,1.67231782752071,1.79498713657276,1.48577880329846,1.78544381286977
Indri_indri,98.11,477.66,35.77,336.04,57.87,165.35,6250,1529.38,358.58,1170.8,1342,848,diurnal,Indri indri,38.3,36970,1520,2,Primates,Indridae,Indri,indri,Indri indri,3,8650,NA,734.99,NA,NA,NA,NA,4,NA,136.5,1,0.12,0.12,912.5,1,0.42,NA,NA,NA,5.42159749979472,3.5,1559.07,3.1,2,2,1,330.26,NA,NA,208;511;730;899;1046;1048;1167;1261;1297;1544;1547;1848;2151;2344;2428;2493;2655;2660;2973;2986,NA,NA,NA,NA,39656,-14.65,-19.81,-17.23,49.93,47.78,48.86,8,44.05,11,0.18,187.11,199.75,1342.61,1594.77,300,NA,2,18,0.18,NA,2.3822842325883,4.88478435561019,11.1111111111111,Indri,Strepsirrhines,2018.8,223.22,371.81,6211.7,35799.2,36122,36611.42,947.58,1005.45,1112.93,798.99,834.76,1135.03,693.14,1072.69,1.55548878621726,-0.114376684204473,1.86615307594455,1.87713456779001,1.11323872786242,1.67626648391985,1.61272941433579,1.11869652590872,1.19368708604319,1.10713123801972,1.75061637327332,1.77749554172316,1.37467755401429,1.80812715522355,1.51549884934499,1.38768583212544,1.28446452720278,1.84434118462904,1.77090435273336,1.61487954663238,1.26003844072475,1.65157194648339
Lepilemur_ruficaudatus,31.58,128.48,7.28,78.29,12.62,61.3,915,392.28,72.73,319.55,449,194,nocturnal,Lepilemur ruficaudatus,7.6,7340,390,2,Primates,Megaladapidae,Lepilemur,ruficaudatus,Lepilemur ruficaudatus,1,763,NA,NA,NA,594.95,NA,NA,2,NA,136.01,1,NA,NA,NA,1.02,NA,NA,NA,NA,9.19598329227888,NA,NA,1,2,2,1,118.54,NA,NA,511;1048;1261;1544;1547;2151;2344;2655;2986,NA,NA,NA,NA,35030,-19.6,-23.56,-21.58,45.22,43.22,44.22,2,11.4,3,0.21,57.89,238.61,789.13,1602.55,909,27,NA,0.813333333333333,0.00813333333333333,9,1,1.85364984204528,122.950819672131,Lepilemur,Strepsirrhines,513.55,73.92,85.57,907.4,7020.45,7146,7267.27,245.63,258.25,306.93,233.98,241.26,312.27,191.07,287.97,1.16616977852793,-0.760427221037741,1.640257025705,1.68401866769022,1,1.59416612269517,1.6028925016866,1.38475693483296,1.48428901906708,1.01565832008219,1.34684815027935,1.42561032142762,1.05248952025435,1.81285389808112,1.75157414464283,1.60882908271427,1.63958245092743,1.4874817602023,1.74057570736306,1.39362044179801,1.4418003523019,1.95373423031378
Microcebus_murinus,5.99,30.45,2.33,23.82,4.48,20.9,54,100.35,12.38,87.97,99.1,40.1,nocturnal,Microcebus murinus,1.78,1720,100,2,Primates,Cheirogaleidae,Microcebus,murinus,Microcebus murinus,1,66.6,NA,137.5,NA,380.2,125.84,101.05,5,NA,60.34,1,0.01,0.01,365,2,NA,186,4.79,43.08,9.87550564856346,3.5,348.41,1,NA,2,2,39.83,NA,NA,208;511;543;730;1015;1046;1048;1167;1261;1297;1544;1545;1547;1611;1848;2041;2151;2256;2344;2428;2489;2493;2511;2560;2655;2660;2986,NA,1.11,NA,NA,128599,-12.33,-25.58,-18.95,49.6,43.22,46.41,2,12.01,3,0.19,85.12,240.86,897.1,1624.72,NA,NA,6.5,2.5,0.025,NA,4.73277524344163,2.95267839306355,260,Microcebus,Strepsirrhines,128.07,25.38,26.15,52.22,1632.03,1679.9,1707.62,62.59,67.07,83.49,61.82,64.15,85.64,57.52,81.98,1.73332812080584,0.180736565628705,1.7830793635944,1.81986478276896,1.2788750403038,1.39707078126224,1.51055690793715,1.72842502626288,1.64408598391804,1.39507314698835,1.55438972289572,1.66924182430418,1.17916696484162,1.36977463980668,1.22184647939205,1.2872884314798,1.19484332246633,1.73919372679599,1.27211262323674,1.17008990009935,1.49811115255991,1.90566907709258
